Mac1,Mac2
169818,169820
169820,169819
169808,169821
169822,169821
169821,144021
169808,169822
169808,144021
169822,144021
169823,169824
168994,169823
169823,169796
169823,169718
168994,169824
169796,169824
169718,169824
168994,169796
168994,169718
169796,169718
169825,169826
169827,169749
169749,169688
169749,169810
169827,169688
169827,169810
169688,169810
169828,169829
169828,169647
169647,169829
169830,169831
169831,169249
169831,169832
169830,169249
169830,169832
169249,169832
169833,169637
169833,169834
169833,169835
169833,169344
169834,169637
169637,169835
169344,169637
169834,169835
169834,169344
169344,169835
169796,169075
169836,169837
169838,169837
169839,169837
142139,169837
169840,169837
169841,169837
169836,169838
169839,169836
142139,169836
169840,169836
169836,169841
169839,169838
142139,169838
169840,169838
169841,169838
169839,142139
169839,169840
169839,169841
142139,169840
142139,169841
169840,169841
168994,169067
168994,169718
168994,169459
169718,169067
169459,169067
169459,169718
169842,169819
169843,169842
169843,169819
169844,169845
169610,169613
169610,169023
169833,169610
169613,169023
169833,169613
169833,169023
169846,169847
169848,169847
169729,169847
169849,169847
169848,169846
169729,169846
169849,169846
169848,169729
169848,169849
169729,169849
169850,169836
169836,152203
169836,169851
169836,169852
169850,152203
169850,169851
169850,169852
169851,152203
152203,169852
169851,169852
169853,169854
169061,169853
169853,169855
169853,169040
169061,169854
169855,169854
169040,169854
169061,169855
169061,169040
169855,169040
133625,169856
169856,169819
169839,169856
169856,169037
168994,169856
169856,169857
169858,169856
169831,169856
133625,169819
169839,133625
133625,169037
168994,133625
133625,169857
169858,133625
169831,133625
169839,169819
169037,169819
168994,169819
169819,169857
169858,169819
169831,169819
169839,169037
169839,168994
169839,169857
169839,169858
169839,169831
168994,169037
169037,169857
169858,169037
169831,169037
168994,169857
168994,169858
169831,168994
169858,169857
169831,169857
169831,169858
169859,169860
169860,169861
169862,169860
169859,169861
169862,169859
169862,169861
169863,169864
169864,169610
169864,169729
169863,169610
169863,169729
169610,169729
169865,169866
169867,169866
169866,169868
169866,169869
169865,169867
169865,169868
169865,169869
169867,169868
169867,169869
169869,169868
169833,169836
169836,152203
169836,169852
169836,169870
169344,169836
169833,152203
169833,169852
169833,169870
169833,169344
152203,169852
169870,152203
169344,152203
169870,169852
169344,169852
169344,169870
169871,169872
169872,169873
169872,169874
169871,169873
169871,169874
169873,169874
169875,169876
169876,169877
169878,169876
169876,169061
169876,169613
169875,169877
169878,169875
169875,169061
169875,169613
169878,169877
169061,169877
169613,169877
169878,169061
169878,169613
169061,169613
169459,169879
169459,169857
169880,169459
169459,169881
169882,169459
169879,169857
169880,169879
169881,169879
169882,169879
169880,169857
169881,169857
169882,169857
169880,169881
169882,169880
169882,169881
10358,169023
169839,169883
169883,169884
169885,169883
169040,169883
169839,169884
169839,169885
169839,169040
169885,169884
169040,169884
169040,169885
169863,169837
169862,169863
169863,169886
169862,169837
169886,169837
169862,169886
169887,169888
169859,169888
169888,169889
169859,169887
169887,169889
169859,169889
169890,169891
169892,169891
169836,169891
169892,169890
169836,169890
169836,169892
169893,169647
169876,169826
169894,169826
169895,169826
169869,169826
169061,169826
169876,169894
169876,169895
169876,169869
169876,169061
169894,169895
169894,169869
