mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
CC:3A:61:BB:55:B8,17.0,0.0,0.0,11.7647058824,76.4705882353,5.88235294118,5.88235294118,0.25,34
E0:C9:7A:7E:4E:BA,17.0,0.0,0.0,23.5294117647,64.7058823529,11.7647058824,0.0,0.25,34
20:54:76:1B:DA:29,17.0,0.0,0.0,23.5294117647,52.9411764706,17.6470588235,5.88235294118,0.25,17
40:F3:08:98:8C:51,17.0,100.0,0.0,0.0,11.7647058824,52.9411764706,35.2941176471,0.25,17
B0:E0:3C:80:24:72,17.0,0.0,0.0,17.6470588235,35.2941176471,47.0588235294,0.0,0.25,42
9C:6C:15:7B:3D:10,17.0,0.0,0.0,64.7058823529,23.5294117647,0.0,11.7647058824,0.5,33
A4:81:EE:0D:C2:6C,17.0,0.0,0.0,5.88235294118,11.7647058824,35.2941176471,47.0588235294,0.25,17
68:48:98:57:B9:54,17.0,0.0,0.0,11.7647058824,47.0588235294,29.4117647059,11.7647058824,0.25,17
C0:63:94:8E:D9:5A,16.0,0.0,0.0,6.25,37.5,25.0,31.25,0.25,31
90:18:7C:87:F1:C9,16.0,0.0,0.0,31.25,18.75,12.5,37.5,0.25,18
00:12:36:0F:75:50,16.0,100.0,0.0,12.5,37.5,25.0,25.0,0.25,37
90:18:7C:1D:63:F1,16.0,0.0,0.0,0.0,100.0,0.0,0.0,0.348039215686,17
90:00:DB:2C:4B:83,16.0,0.0,0.0,6.25,37.5,43.75,12.5,0.25,40
8C:3A:E3:4D:74:E9,16.0,0.0,0.0,37.5,37.5,18.75,6.25,0.25,16
E4:58:E7:3C:7A:7E,16.0,0.0,0.0,50.0,31.25,6.25,12.5,0.25,21
B4:EF:39:2D:06:E7,16.0,0.0,0.0,12.5,31.25,37.5,18.75,0.25,29
D4:93:98:4D:BA:0E,16.0,0.0,0.0,6.25,37.5,37.5,18.75,0.25,30
B8:4F:D5:27:D2:67,16.0,0.0,0.0,12.5,25.0,37.5,18.75,0.25,73
D8:90:E8:CA:72:29,16.0,0.0,0.0,12.5,31.25,43.75,12.5,0.25,29
B0:D0:9C:C5:AF:36,16.0,0.0,0.0,6.25,25.0,37.5,31.25,0.25,31
14:F4:2A:BE:A2:13,16.0,0.0,0.0,6.25,37.5,25.0,31.25,0.25,19
FC:19:10:3D:C7:F7,16.0,0.0,0.0,25.0,25.0,31.25,18.75,0.25,51
EC:0E:C4:59:1A:41,16.0,50.0,0.0,6.25,12.5,62.5,18.75,0.25,45
08:D4:2B:83:85:F0,16.0,0.0,0.0,12.5,43.75,37.5,6.25,0.25,74
A0:B4:A5:2D:2A:E9,16.0,0.0,0.0,12.5,43.75,37.5,6.25,0.25,28
84:38:38:2E:2E:97,16.0,0.0,0.0,0.0,68.75,31.25,0.0,0.25,16
E4:F8:EF:9D:ED:FD,16.0,0.0,0.0,25.0,25.0,31.25,18.75,0.25,30
B8:5A:73:F4:DB:47,16.0,0.0,0.0,25.0,18.75,43.75,12.5,0.25,34
24:0A:11:74:FF:D0,16.0,0.0,0.0,0.0,6.25,43.75,50.0,0.25,16
18:3A:2D:A1:09:18,16.0,100.0,0.0,6.25,25.0,25.0,43.75,0.25,47
F8:84:F2:3B:E8:B6,15.0,0.0,0.0,26.6666666667,26.6666666667,33.3333333333,6.66666666667,0.25,47
78:40:E4:E3:51:34,15.0,0.0,0.0,6.66666666667,13.3333333333,60.0,13.3333333333,0.25,15
00:26:5E:2C:3F:AE,15.0,0.0,0.0,0.0,26.6666666667,53.3333333333,20.0,0.25,60
08:EE:8B:A6:6D:6D,15.0,0.0,0.0,6.66666666667,66.6666666667,20.0,6.66666666667,0.25,45
CC:C3:EA:FE:84:ED,15.0,0.0,0.0,0.0,6.66666666667,80.0,13.3333333333,0.348039215686,85
FC:19:10:C1:84:6F,15.0,0.0,0.0,46.6666666667,20.0,26.6666666667,6.66666666667,0.25,62
34:4D:F7:30:CA:E4,15.0,0.0,0.0,13.3333333333,13.3333333333,13.3333333333,53.3333333333,0.25,15
F0:27:65:23:8F:E0,15.0,0.0,0.0,26.6666666667,46.6666666667,13.3333333333,13.3333333333,0.302083333333,64
1C:69:A5:9A:3E:E0,15.0,0.0,0.0,13.3333333333,46.6666666667,26.6666666667,13.3333333333,0.25,15
A8:9F:BA:EA:D3:25,15.0,0.0,0.0,20.0,13.3333333333,40.0,26.6666666667,0.25,15
40:6F:2A:3E:F4:AF,15.0,0.0,0.0,6.66666666667,46.6666666667,26.6666666667,20.0,0.25,28
08:63:61:84:44:4D,15.0,0.0,13.3333333333,13.3333333333,13.3333333333,33.3333333333,26.6666666667,0.25,55
14:7D:C5:0C:15:5E,15.0,0.0,0.0,6.66666666667,40.0,33.3333333333,20.0,0.25,15
18:CF:5E:2F:44:6F,15.0,100.0,0.0,0.0,53.3333333333,46.6666666667,0.0,0.25,15
48:59:29:A0:85:C9,15.0,0.0,0.0,13.3333333333,26.6666666667,20.0,33.3333333333,0.361111111111,30
74:5C:9F:12:E0:D7,15.0,0.0,0.0,0.0,80.0,6.66666666667,13.3333333333,0.25,27
00:12:36:1F:EF:DE,15.0,0.0,0.0,13.3333333333,26.6666666667,33.3333333333,20.0,0.955992509363,267
