mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
A8:9F:BA:43:64:10,17.0,0.0,0.0,0.0,29.4117647059,29.4117647059,41.1764705882,0.25,17
68:ED:43:7B:95:7B,17.0,0.0,0.0,5.88235294118,11.7647058824,52.9411764706,29.4117647059,0.25,41
98:52:B1:F7:C8:ED,17.0,0.0,0.0,17.6470588235,35.2941176471,29.4117647059,17.6470588235,0.25,47
B0:45:19:62:96:FF,17.0,0.0,0.0,17.6470588235,76.4705882353,5.88235294118,0.0,0.25,17
44:D4:E0:BB:40:18,17.0,0.0,0.0,11.7647058824,35.2941176471,29.4117647059,23.5294117647,0.25,48
A0:EC:80:D4:09:56,17.0,0.0,0.0,11.7647058824,35.2941176471,41.1764705882,11.7647058824,0.25,31
E8:80:2E:CA:6F:2F,17.0,100.0,5.88235294118,11.7647058824,23.5294117647,23.5294117647,17.6470588235,0.25,57
AC:36:13:18:56:F6,17.0,0.0,0.0,23.5294117647,29.4117647059,17.6470588235,29.4117647059,0.426908752328,179
04:FE:31:E6:51:D9,17.0,0.0,0.0,0.0,23.5294117647,58.8235294118,17.6470588235,0.25,42
84:63:D6:EC:DC:E0,17.0,0.0,0.0,5.88235294118,5.88235294118,64.7058823529,23.5294117647,0.25,41
08:FD:0E:4B:6F:45,17.0,0.0,0.0,17.6470588235,41.1764705882,29.4117647059,11.7647058824,0.25,30
00:12:36:1F:EF:DE,17.0,0.0,0.0,17.6470588235,29.4117647059,29.4117647059,23.5294117647,0.955992509363,267
74:A7:22:E3:91:66,17.0,0.0,0.0,88.2352941176,11.7647058824,0.0,0.0,0.25,32
FC:92:3B:0F:63:23,17.0,0.0,0.0,47.0588235294,52.9411764706,0.0,0.0,0.25,95
